"","flight_num","plane_num","city1","city2","city3","city4","city5"
"96","MU2403/4","737","石家庄",NA,"石家庄",NA,NA
"97","MU2429/30","737","石家庄",NA,"石家庄",NA,NA
"98","MU2429/30","737","石家庄",NA,"石家庄",NA,NA
"99","MU2429/30","737","石家庄",NA,"石家庄",NA,NA
"272","MU5151","73G","石家庄",NA,NA,NA,NA
"273","MU5152","73G",NA,"石家庄",NA,NA,NA
"387","NS3201/2","ERJ","石家庄",NA,"大连",NA,"石家庄"
"1698","ZH9962","320",NA,"石家庄","深圳",NA,NA
"1699","ZH9962","320",NA,"石家庄","深圳",NA,NA
"1700","ZH9962","320",NA,"石家庄","深圳",NA,NA
"1701","ZH9962","320",NA,"石家庄","深圳",NA,NA
"2586","OQ2345/6","319","重庆",NA,"重庆",NA,NA
"2587","OQ2345/6","319","重庆",NA,"重庆",NA,NA
"2779","MU2563","733","昆明",NA,NA,NA,NA
"2780","MU2564","733",NA,"昆明",NA,NA,NA
"2917","8L9967","73G","昆明",NA,NA,NA,NA
"2918","8L9968","73G",NA,"昆明",NA,NA,NA
"2983","MU2565","73G","昆明",NA,NA,NA,NA
"2984","MU2565","73G","昆明",NA,NA,NA,NA
"2985","MU2566","73G",NA,"昆明",NA,NA,NA
"4701","MU5739","733",NA,"昆明","广州",NA,NA
"4708","MU5809","733",NA,"昆明","上海虹桥",NA,NA
"5046","FM9141","738","上海浦东",NA,NA,NA,NA
"5047","FM9141/2","738","上海浦东",NA,"上海浦东",NA,NA
"5048","FM9142","738",NA,"上海浦东",NA,NA,NA
"5564","MU5718","73G",NA,"昆明","北京首都",NA,NA
