,recall,accuracy,precision,auc
0.1,0.41935483871,0.970873786408,0.402859039294,0.70850279132
0.15,0.577464788732,0.953091684435,0.580736112742,0.786360852864
0.2,0.769230769231,0.964721845319,0.783033493627,0.883035605784
0.25,0.837735849057,0.968015665796,0.843758053936,0.91650012658
0.3,0.893890675241,0.971232020013,0.874595313522,0.94189875377
0.35,0.924083769634,0.97300539892,0.901411617391,0.955816203883
0.4,0.924210526316,0.971741637832,0.918390495791,0.956942435517
0.45,0.932710280374,0.971540178571,0.925580394482,0.960388553075
0.5,0.946735395189,0.967707212056,0.916083232534,0.962004061231
0.55,0.961661341853,0.965535248042,0.911476934895,0.964538971935
0.6,0.968390804598,0.974721941355,0.940887876144,0.973274965481
0.65,0.965653896962,0.968184043074,0.929470536899,0.967663651436
0.7,0.977695167286,0.970616113744,0.934583010956,0.971963470059
0.75,0.977246871445,0.968620212275,0.934758635517,0.96998989535
0.8,0.978586723769,0.96866606983,0.936782702436,0.970062592654
0.85,0.990049751244,0.974815458098,0.948828741963,0.97653489103
0.9,0.984375,0.970787468247,0.945991257484,0.971779336735
0.95,0.985940246046,0.966625463535,0.938542758876,0.967756779346
1.0,0.985099337748,0.96511627907,0.93832789498,0.965722297179
