"","GKH","GKR"
"1","",""
"2",NA,"1990.01.03"
"3","CN1038678",""
"4","CN1038677","1990.01.10"
"5",NA,"1990.01.17"
"6","CN1039076","1990.01.24"
"7","","1990.02.07"
"8","CN1039632",NA
"9","CN1039631","1990.02.14"
"10","CN1039630","1990.02.14"
"11","CN1039852","1990.02.21"
"12","CN1039853","1990.02.21"
"13","CN1039855","1990.02.21"
"14","CN1039854","1990.02.21"
"15","CN1040068","1990.02.28"
"16","CN1040067","1990.02.28"
"17","CN1040066","1990.02.28"
"18","CN1040229","1990.03.07"
"19","CN1040233","1990.03.07"
"20","CN1040232","1990.03.07"
"21","CN1040231","1990.03.07"
"22","CN1040230","1990.03.07"
"23","CN1040234","1990.03.07"
"24","CN1040404","1990.03.14"
"25","CN1040402","1990.03.14"
"26","CN1040405","1990.03.14"
"27","CN1040403","1990.03.14"
"28","CN1040635","1990.03.21"
"29","CN1040638","1990.03.21"
"30","CN1040637","1990.03.21"
"31","CN1040636","1990.03.21"
"32","CN1040639","1990.03.21"
"33","CN1040830","1990.03.28"
"34","CN1041012","1990.04.04"
"35","CN1041013","1990.04.04"
"36","CN1041190","1990.04.11"
"37","CN1041408","1990.04.18"
"38","CN1041407","1990.04.18"
"39","CN1041406","1990.04.18"
"40","CN1041410","1990.04.18"
"41","CN1041409","1990.04.18"
"42","CN1041405","1990.04.18"
"43","CN1041791","1990.05.02"
"44","CN1041792","1990.05.02"
"45","CN1041980","1990.05.09"
"46","CN1041979","1990.05.09"
"47","CN1042200","1990.05.16"
"48","CN1042197","1990.05.16"
"49","CN1042199","1990.05.16"
"50","CN1042198","1990.05.16"
"51","CN1042384","1990.05.23"
"52","CN1042741","1990.06.06"
"53","CN1042740","1990.06.06"
"54","CN1043165","1990.06.20"
"55","CN1043164","1990.06.20"
"56","CN1043353","1990.06.27"
"57","CN1043759","1990.07.11"
"58","CN1043757","1990.07.11"
"59","CN1043758","1990.07.11"
"60","CN1043756","1990.07.11"
"61","CN1043967","1990.07.18"
"62","CN1043966","1990.07.18"
"63","CN1043965","1990.07.18"
"64","CN1044134","1990.07.25"
"65","CN1044135","1990.07.25"
"66","CN1044309","1990.08.01"
"67","CN1044310","1990.08.01"
"68","CN1044311","1990.08.01"
"69","CN1044682","1990.08.15"
"70","CN1044683","1990.08.15"
"71","CN1044834","1990.08.22"
"72","CN1044833","1990.08.22"
"73","CN1045137","1990.09.05"
"74","CN1045138","1990.09.05"
"75","CN1045136","1990.09.05"
"76","CN1045283","1990.09.12"
"77","CN1045610","1990.09.26"
"78","CN1045609","1990.09.26"
"79","CN1045821","1990.10.03"
"80","CN1045820","1990.10.03"
"81","CN1045819","1990.10.03"
"82","CN1046000","1990.10.10"
"83","CN1046200","1990.10.17"
"84","CN1046201","1990.10.17"
"85","CN1046361","1990.10.24"
"86","CN1046568","1990.10.31"
"87","CN1046765","1990.11.07"
"88","CN1046947","1990.11.14"
"89","CN1047118","1990.11.21"
"90","CN1047121","1990.11.21"
"91","CN1047120","1990.11.21"
"92","CN1047119","1990.11.21"
"93","CN1047350","1990.11.28"
"94","CN1047710","1990.12.12"
"95","CN1047711","1990.12.12"
